,Date,BTC High,BTC Low,BTC Close,BTC Volume,Gold Close,Gold High,Gold Low,Gold Volume,Spy Close,Spy High,Spy Low,Spy Volume,R Close,R High,R Low,VIX High,VIX Low,VIX Close
0,2022-01-01,47415.73,46770.23,47173.45,3018.46827,,,,,,,,,,,,,,
1,2022-01-02,47211.09,46750.0,47051.37,2838.97703,,,,,,,,,,,,,,
2,2022-01-03,46600.21,45996.26,46550.0,5734.35172,,,,,,,,,,,,,,
3,2022-01-04,46527.39,46246.01,46407.51,2185.03432,1817.0,1819.5,1800.6,10860.0,663.5,664.82,663.1,360.0,1.649,1.686,1.614,17.81,16.34,16.91
4,2022-01-05,43275.8,42600.05,43245.25,7148.39091,1827.5,1832.6,1811.6,10320.0,659.3,663.65,658.16,480.0,1.7,1.712,1.64,20.17,16.58,19.73
5,2022-01-06,41950.0,41000.0,41706.71,12822.5044,1791.5,1813.7,1788.0,33200.0,650.04,651.33,648.83,3870.0,1.728,1.753,1.686,21.06,19.08,19.61
6,2022-01-07,41999.99,41739.0,41913.58,2135.49013,1799.9,1800.7,1783.8,71890.0,655.03,663.9,654.0,220.0,1.765,1.801,1.711,20.8,18.57,18.76
7,2022-01-08,42103.31,41681.17,41791.51,2460.7712,,,,,,,,,,,,,,
8,2022-01-09,42248.5,41811.7,42042.38,3216.0852,,,,,,,,,,,,,,
9,2022-01-10,42387.78,41971.37,42211.05,3883.13068,1801.3,1804.4,1792.0,39840.0,647.98,658.86,647.5,1220.0,1.755,1.808,1.75,23.33,19.29,19.4
10,2022-01-11,42867.55,42463.13,42561.67,3336.77438,1821.0,1825.5,1802.3,40670.0,647.75,658.22,647.63,280.0,1.746,1.785,1.737,21.0,18.2,18.41
11,2022-01-12,43795.44,43483.2,43699.99,3331.80419,1829.8,1830.4,1816.9,45500.0,651.19,653.46,650.01,270.0,1.752,1.753,1.711,18.69,17.36,17.62
12,2022-01-13,42978.1,42599.99,42660.01,4015.82873,1823.9,1830.5,1814.3,86510.0,645.0,659.96,645.0,1270.0,1.701,1.76,1.694,20.61,17.45,20.31
13,2022-01-14,43099.81,42712.94,43088.12,2860.77788,1819.0,1831.5,1816.8,25160.0,639.61,651.18,638.0,830.0,1.793,1.795,1.706,22.07,19.05,19.19
14,2022-01-15,43253.68,42850.16,43202.21,2264.10918,,,,,,,,,,,,,,
15,2022-01-16,42967.99,42300.0,42656.03,4316.07881,,,,,,,,,,,,,,
16,2022-01-17,42337.3,41886.25,42061.94,4135.11603,1812.4,1822.9,1804.7,362940.0,643.21,645.91,642.55,820.0,1.809,1.813,1.809,,,
17,2022-01-18,41849.94,41161.2,41287.1,4837.49022,1814.9,1825.2,1807.2,102420.0,643.61,650.0,641.0,480.0,1.875,1.881,1.807,23.2,21.18,22.79
